Row_no,Sample_ID,Petro_no,Analysis_no,Spot_no,Distance_no,Distance_um,Tag,Age,Sr8786,Sr8786_norm,SE1,SE2,SrV,Spot_size_um,Rep_rate_hz,Dwell_time_sec,Power_percent,Analysis_date,Analysis_time
74,WEM0401065,WEM2,1,27,27,1063.383,,,0.707952918,0.70806169,6.60E-05,0.000131974,3.796048867,40,10,25,77,9/6/2022,11:20 PM
75,WEM0401065,WEM2,1,28,28,1109.597,,,0.707935609,0.708044378,9.77E-05,0.000195422,2.901163706,40,10,25,77,9/6/2022,11:20 PM
76,WEM0401065,WEM2,1,29,29,1149.015,,,0.707973294,0.708082068,0.000114373,0.000228746,2.521333448,40,10,25,77,9/6/2022,11:20 PM
77,WEM0401065,WEM2,1,30,30,1182.09,age 3,,0.708008067,0.708116847,9.24E-05,0.000184804,2.309604291,40,10,25,77,9/6/2022,11:20 PM
78,WEM0401065,WEM2,1,31,31,1231.023,,,0.707889503,0.707998265,8.83E-05,0.000176643,2.126188173,40,10,25,77,9/6/2022,11:20 PM
79,WEM0401065,WEM2,1,32,32,1269.988,,,0.707947267,0.708056037,0.000105666,0.000211333,2.439261147,40,10,25,77,9/6/2022,11:20 PM
80,WEM0401065,WEM2,1,33,33,1320.733,,,0.707869068,0.707977826,6.79E-05,0.000135713,2.887309371,40,10,25,77,9/6/2022,11:20 PM
81,WEM0401065,WEM2,1,34,34,1369.666,,,0.707749461,0.707858201,4.26E-05,8.52E-05,3.989513104,40,10,25,77,9/6/2022,11:20 PM
82,WEM0401065,WEM2,1,35,35,1412.708,,,0.708038174,0.708146959,7.38E-05,0.000147555,2.608357889,40,10,25,77,9/6/2022,11:20 PM
83,WEM0401065,WEM2,1,36,36,1454.392,,,0.707941687,0.708050457,0.000107162,0.000214324,2.321940157,40,10,25,77,9/6/2022,11:20 PM
84,WEM0401065,WEM2,1,37,37,1501.512,,,0.707910814,0.708019579,0.000112046,0.000224091,2.12406696,40,10,25,77,9/6/2022,11:20 PM
85,WEM0401062,WEM3,1,1,1,26.279,,,0.70802486,0.708133643,9.54E-05,0.000190724,2.823528768,40,10,25,77,9/6/2022,11:40 PM
86,WEM0401062,WEM3,1,2,2,63.431,,,0.707773757,0.707882501,0.000112757,0.000225514,2.551040685,40,10,25,77,9/6/2022,11:40 PM
88,WEM0401062,WEM3,1,4,4,142.721,,,0.707830092,0.707938844,5.75E-05,0.000114979,3.233884191,40,10,25,77,9/6/2022,11:40 PM
89,WEM0401062,WEM3,1,5,5,184.857,,,0.707812107,0.707920857,9.89E-05,0.000197772,2.828704543,40,10,25,77,9/6/2022,11:40 PM
90,WEM0401062,WEM3,1,6,6,231.072,,,0.708010301,0.708119082,4.84E-05,9.67E-05,4.280011374,40,10,25,77,9/6/2022,11:40 PM
91,WEM0401062,WEM3,1,7,7,265.053,,,0.707948558,0.708057328,7.04E-05,0.000140876,4.664332951,40,10,25,77,9/6/2022,11:40 PM
92,WEM0401062,WEM3,1,8,8,309.908,,,0.708022808,0.70813159,4.68E-05,9.36E-05,5.23708195,40,10,25,77,9/6/2022,11:40 PM
93,WEM0401062,WEM3,1,9,9,346.607,,,0.707971035,0.708079809,5.77E-05,0.000115389,4.668200469,40,10,25,77,9/6/2022,11:40 PM
