"Specimen Number","Species ID","Group","Family","Scientific Name","Common Name","Country","State","County","Locality","Latitude","Longitude","Source","Accuracy","Drainage Name","HUC 8 Number","Year","Month","Day","Status","Comments","record_type","disposal","Museum_Cat_No","fresh_marine_intro","Reference 1","Type 1","Date 1","Author 1","Title 1","Publisher 1","Location 1","Reference 2","Type 2","Date 2","Author 2","Title 2","Publisher 2","Location 2","Reference 3","Type 3","Date 3","Author 3","Title 3","Publisher 3","Location 3","Reference 4","Type 4","Date 4","Author 4","Title 4","Publisher 4","Location 4","Reference 5","Type 5","Date 5","Author 5","Title 5","Publisher 5","Location 5","Reference 6","Type 6","Date 6","Author 6","Title 6","Publisher 6","Location 6"
"268197","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","MD","","Upper Chesapeake (HUC6) non-specific","39.03802","-76.35191","Calculated by GIS","Centroid","Upper Chesapeake","02060000","1981","10","","established","","Literature","","","Freshwater","1651","Journal Article","1981","Lee, D.A., S.P. Platania, C.R. Gilbert, R. Franz, and A. Norden","A revised list of the freshwater fishes of Maryland and Delaware.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"268198","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","MD","","Ohio drainage of Appalachian Plateau (Youghiogheny drainage)","39.620367","-79.306183","Map derived","Approximate","Youghiogheny","05020006","1981","10","","established","","Literature","","","Freshwater","1651","Journal Article","1981","Lee, D.A., S.P. Platania, C.R. Gilbert, R. Franz, and A. Norden","A revised list of the freshwater fishes of Maryland and Delaware.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"35109","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","MD","","state non-specific","39.01909","-76.79927","Calculated by GIS","Centroid","Mid Atlantic Region","02000000","1992","","","established","","Personal communication","","","Freshwater","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"35188","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","MD","Allegany","Lake Habeeb","39.71","-78.6616666666667","Map derived","Accurate","North Branch Potomac","02070002","1993","","","established","","Literature","","","Freshwater","1559","Other","1993","DeLorme.","Maryland Delaware Atlas and Gazetteer.","DeLorme, Freeport, ME.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"35115","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","MD","Allegany","Rocky Gap Lake [=Lake Habeeb]","39.705206","-78.650436","Map derived","Accurate","North Branch Potomac","02070002","1969","","","collected","","Personal communication","","","Freshwater","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"35116","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","MD","Baltimore","Prettyboy Reservoir","39.637422","-76.738987","Map derived","Approximate","Gunpowder-Patapsco","02060003","1969","","","collected","","Personal communication","","","Freshwater","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"35118","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","MD","Baltimore","Loch Raven Reservoir","39.461114","-76.579514","Map derived","Approximate","Gunpowder-Patapsco","02060003","1969","","","collected","","Personal communication","","","Freshwater","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"35189","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","MD","Baltimore","Liberty Lake","39.422536","-76.883526","Map derived","Approximate","Gunpowder-Patapsco","02060003","1993","","","established","","Literature","","","Freshwater","1559","Other","1993","DeLorme.","Maryland Delaware Atlas and Gazetteer.","DeLorme, Freeport, ME.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"35117","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","MD","Baltimore/Carrol","Liberty Lake","39.422536","-76.883526","Map derived","Approximate","Gunpowder-Patapsco","02060003","1969","","","collected","","Personal communication","","","Freshwater","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"613976","831","Fishes","Percidae","Sander vitreus","Walleye","United States of America","MD","Cecil","Susquehanna-Atlantic Ocean Drainage: Canowingo Creek: Canowingo Lake Rd. ~ 10 km W rising Sun; 1st riffle upstream of mouth: 1.5 km from bridge (TJN07-22)","39.68657","-76.19345","reported","Accurate","Lower Susquehanna","02050306","2007","7","7","established","Data from GBIF data index - original values.","Specimen","Yale Peabody Museum ichthyology collection","YPM ICH 016779","Freshwater","26212","Database","2013","GBIF","Global Biodiversity Information Facility (GBIF) Database.","Global Biodiversity Information Facility","","26017","Database","2013","Yale University","Yale Peabody Museum ichthyology collection. Accessed through GBIF data portal, <a href=""http://data.gbif.org/datasets/resource/8139"" target=""_blank"">http://data.gbif.org/datasets/resource/8139</a>","Yale University","New Haven, CT","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
